round,client,l2,proj0,proj1,proj2,proj3,proj4,proj5,proj6,proj7,proj8,proj9
1,99,9713.1875,-21251.693359375,-10255.095703125,85.3680419921875,5984.46337890625,9380.994140625,1711.801025390625,12243.1123046875,18466.0859375,1886.1953125,13488.1640625
2,99,4464.47802734375,4121.8349609375,7379.1064453125,2264.1162109375,-2600.59619140625,-1347.2215576171875,-1737.887451171875,-957.2164306640625,-4619.20751953125,-2465.28564453125,-3836.2626953125
3,99,2859.877197265625,7002.40966796875,-692.194091796875,2571.358642578125,38.8533935546875,-1615.959716796875,-932.65869140625,-3284.98291015625,411.8768310546875,-2667.68603515625,-3424.197998046875
4,99,2390.851806640625,3751.248779296875,-198.32391357421875,4669.67822265625,3627.12255859375,-1148.529052734375,-434.6963195800781,-4091.6396484375,-25.343597412109375,438.6798400878906,256.3746643066406
5,99,1806.677490234375,-262.35833740234375,995.5801391601562,1339.1829833984375,21.891433715820312,-357.4412536621094,-321.0132141113281,-3635.31787109375,1412.653076171875,1000.203857421875,-249.10340881347656
