round,client,l2,proj0,proj1,proj2,proj3,proj4,proj5,proj6,proj7,proj8,proj9
1,99,305.99920654296875,77.25686645507812,-315.8597106933594,60.905548095703125,-102.56852722167969,-382.5235900878906,-191.9396514892578,144.75279235839844,-4.1253814697265625,-126.78912353515625,-23.983327865600586
2,99,130.339599609375,76.10494232177734,-72.50154876708984,88.88771057128906,-61.070980072021484,-2.2625579833984375,-225.70449829101562,134.0200653076172,-13.942611694335938,-148.0829620361328,-174.738037109375
3,99,313.89959716796875,198.5370635986328,-410.65948486328125,161.30157470703125,-16.20349884033203,58.77155303955078,-439.4286804199219,583.3980102539062,-317.41082763671875,-48.51258850097656,-330.214111328125
4,99,219.7347412109375,220.8394775390625,-66.50701904296875,213.87576293945312,-29.032196044921875,-90.67158508300781,-275.62152099609375,262.8272705078125,-193.1937255859375,-206.02169799804688,20.019046783447266
5,99,331.0172119140625,-187.72828674316406,-162.2267303466797,73.29769897460938,-361.7798156738281,-370.5313720703125,-561.5535888671875,243.00241088867188,-357.2079772949219,-66.01957702636719,-52.41794967651367
