round,client,l2,proj0,proj1,proj2,proj3,proj4,proj5,proj6,proj7,proj8,proj9
1,99,804.5050659179688,512.0510864257812,318.3709411621094,1415.9083251953125,604.96826171875,171.11245727539062,399.0754699707031,-616.48828125,1328.93115234375,138.5965576171875,697.955322265625
2,99,663.0897827148438,471.53973388671875,889.79541015625,803.8294067382812,381.0326232910156,-262.232421875,-7.447896957397461,-762.3175048828125,245.53823852539062,704.6336669921875,32.55201721191406
3,99,567.376708984375,182.8251953125,742.8041381835938,509.93011474609375,315.7205505371094,-74.76154327392578,-5.312408447265625,-397.9945068359375,221.65133666992188,450.47430419921875,759.1700439453125
4,99,500.7777404785156,142.48699951171875,458.1585693359375,601.5596313476562,377.1790466308594,-141.85595703125,-218.97042846679688,-12.340377807617188,53.43034362792969,211.70919799804688,1013.6373291015625
5,99,444.5846862792969,-114.10247039794922,906.8524780273438,720.771240234375,551.9030151367188,224.57821655273438,-431.28118896484375,-253.56558227539062,140.05154418945312,51.601043701171875,802.4356689453125
