round,client,l2,proj0,proj1,proj2,proj3,proj4,proj5,proj6,proj7,proj8,proj9
1,99,521.1842041015625,59.06587219238281,-383.5116882324219,-355.1553955078125,-504.39935302734375,-557.1182861328125,-981.1971435546876,203.722412109375,-703.1702270507812,314.86138916015625,-367.1570129394531
2,99,451.102294921875,-214.3046417236328,-437.0790100097656,212.37744140625,-3.053695678710937,-518.6256103515625,-297.99322509765625,330.8915100097656,-89.03851318359375,477.4697570800781,-62.02498626708984
3,99,565.238037109375,90.58796691894533,-434.40283203125,180.5371856689453,206.53912353515625,-227.80789184570312,-977.9716796875,83.47206115722656,-1078.600341796875,411.3225708007813,-930.2633056640624
4,99,281.1412658691406,-203.08718872070312,-528.6549072265625,-114.87991333007812,78.05105590820312,-222.46051025390625,-162.47113037109375,126.55851745605467,-324.76971435546875,-42.277435302734375,-91.9042510986328
5,99,229.44723510742188,-47.9254150390625,-75.4735107421875,-94.92205810546876,-215.90472412109372,-2.224891662597656,-72.11396026611328,-32.23103332519531,-94.94064331054688,-2.562119483947754,-418.3897705078125
6,99,214.9667510986328,-143.33192443847656,-282.3083190917969,-104.61093139648438,53.85598373413086,-229.25100708007807,134.43397521972656,160.51248168945312,-205.3934783935547,140.74612426757812,-167.58273315429688
7,99,258.1297302246094,-133.1984405517578,-74.3134765625,173.03224182128906,-223.8889617919922,-451.77783203125,-457.5056762695313,143.11639404296875,-404.096435546875,251.3460998535156,142.7710723876953
8,99,265.0238647460937,161.28274536132812,-671.0543212890625,-138.85824584960938,154.4311065673828,480.2892150878906,-146.50440979003906,45.3940544128418,-98.8128662109375,-126.70262145996094,-112.7236785888672
9,99,143.75527954101562,119.39360809326172,-96.56109619140624,-22.21955108642578,111.71539306640624,-232.5026092529297,11.87562370300293,74.8864517211914,-68.56155395507812,319.9565734863281,-238.06581115722656
10,99,173.5738067626953,-96.67459106445312,-416.1480712890625,-79.21978759765625,-115.1958999633789,-123.6780242919922,-91.53582000732422,-72.90381622314453,-149.93069458007812,181.3873748779297,-71.87321472167969
11,99,119.9084701538086,-111.11820220947266,-39.976295471191406,-173.2021026611328,65.97105407714844,-32.83617401123047,-229.88790893554688,-168.19314575195312,-134.67779541015625,-69.52546691894531,2.384605407714844
12,99,388.6512451171875,22.78431701660156,114.664794921875,15.024261474609377,-630.8743286132812,-24.10193634033203,-420.9525451660156,236.7085723876953,-596.7171630859375,465.8328857421875,-113.88370513916016
13,99,191.81817626953125,212.9341583251953,-385.8757934570313,79.1424331665039,149.8131103515625,-122.08321380615234,-262.32476806640625,-82.6834487915039,-259.6271667480469,305.05328369140625,-26.787696838378903
14,99,106.33715057373048,39.22534942626953,75.32968139648438,-132.1597900390625,-5.386665344238281,-11.515239715576172,-105.52438354492188,52.4774169921875,84.19054412841797,59.59484100341797,-129.5683135986328
15,99,137.07261657714844,-21.72100067138672,-302.7262268066406,194.6270446777344,-133.19618225097656,-183.2171936035156,-167.792724609375,-55.03096389770508,-286.5206604003906,209.9696502685547,-86.29049682617188
16,99,123.1160888671875,-47.79492568969727,-145.34791564941406,10.910507202148438,-132.83108520507812,-119.81216430664062,84.192138671875,119.15052795410156,-86.73444366455078,-205.38137817382807,13.782155990600586
17,99,68.90645599365234,-11.608854293823242,-56.18456268310547,5.933517456054688,-6.543481826782227,-16.48648452758789,-19.7683219909668,-38.44440841674805,-19.69453811645508,11.28073501586914,3.0839385986328125
18,99,112.3910903930664,-194.0594024658203,-86.00780487060547,-25.736839294433597,-70.70376586914062,-10.659149169921877,127.01081848144533,-86.0724105834961,-5.923110008239746,-26.272844314575195,-3.69256591796875
19,99,109.34320831298828,-199.0235290527344,-57.59796905517578,129.43148803710938,-97.36632537841795,-27.49268341064453,-109.22615814208984,-194.07708740234372,-5.733802795410156,94.93547058105467,-357.82196044921875
20,99,97.25237274169922,-23.620624542236328,7.76115608215332,-6.821903228759766,-157.47659301757812,-79.9917221069336,-16.193511962890625,4.618827819824219,-190.35989379882807,-39.873085021972656,-24.163494110107425
21,99,66.40028381347656,-35.94066619873047,-125.63412475585938,73.74805450439453,48.61403274536133,-55.26424026489258,24.438989639282227,-24.17224884033203,18.60450935363769,-18.511451721191406,-61.77760314941406
22,99,130.339599609375,76.10494232177734,-72.50154876708984,88.88771057128906,-61.07098007202149,-2.262557983398437,-225.7044982910156,134.0200653076172,-13.942611694335938,-148.0829620361328,-174.738037109375
23,99,92.04280853271484,55.31344604492188,-147.67532348632812,46.1477165222168,17.056926727294922,230.2474670410156,-10.581911087036133,-155.3468780517578,-6.329950332641602,-16.79425048828125,121.7624969482422
24,99,116.38072967529295,-86.68135070800781,-92.59483337402344,41.651641845703125,-20.403440475463867,-76.68999481201172,-108.22144317626952,-57.586875915527344,47.177833557128906,-31.281230926513672,-23.790695190429688
25,99,103.57569122314452,111.57760620117188,-154.31201171875,-42.76631164550781,-252.095703125,71.53396606445312,-188.90155029296875,-62.8353385925293,-80.7246322631836,10.318805694580078,-25.347076416015625
